date,Firm,Sample,Turnout,Spanish_Socialist_Workers%27_Party,People%27s_Party_(Spain),"Plural_Left_(Spain,_2011)",Convergence_and_Union,Basque_Nationalist_Party,"Union,_Progress_and_Democracy",Republican_Left_of_Catalonia,Galician_Nationalist_Bloc,Canarian_Coalition,Amaiur,Lead
2011-11-08,Celeste-Tel[22],1100,NA,31.5,44.7,7,3.3,1.3,2.6,0.9,1.2,0.9,NA,13.2
2011-11-08,Metroscopia/El País[23][24],9675,70,30.9,45.4,8.8,3.3,1.2,4.2,0.9,0.7,0.3,0.6,14.5
2011-11-07,TNS Demoscopia/CEMOP[25][26],1505,74.3,28.7,47.7,7.6,3.4,1.1,4.2,1.2,NA,NA,NA,19.0
2011-11-06,Sigma Dos/El Mundo[19],NA,NA,30.1,48.2,5.4,3.6,1.3,3,0.9,NA,NA,NA,18.1
2011-11-06,Ipsos/La Nueva España[27][28],3935,NA,31.8,44.5,6.1,3.4,1,4.1,1,0.7,0.4,0.9,12.7
2011-11-04,InvyMark/laSexta[29],NA,NA,34.4,46.5,4.6,NA,NA,NA,NA,NA,NA,NA,12.1
2011-11-03,PP[30],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-11-03,Sigma Dos/El Mundo[31][32],3000,NA,30.6,47.6,5.3,3.5,1.3,3,0.9,NA,NA,NA,17.0
2011-11-03,DYM/ABC[33],7612,NA,34.2,45.5,5.4,3.6,1.2,2.8,1.3,0.6,0.7,1.3,11.3
2011-11-03,NC Report/La Razón[34][35],5752,NA,31.3,46,NA,NA,NA,NA,NA,NA,NA,NA,14.7
2011-10-31,Sigma Dos/El Mundo[36][37],3000,NA,30.7,47.4,5.4,3.5,1.2,3.1,0.9,NA,NA,NA,16.7
2011-10-31,GAD3/COPE[38][39],1200,71,32.7,45.2,5.1,3.3,1.2,3.4,0.8,0.8,0.9,1.4,12.5
2011-10-28,NC Report/La Razón[40],1000,69.1,31.4,45.9,7.4,2.9,1.1,2.8,0.8,1.3,0.9,NA,14.5
2011-10-28,Celeste-Tel[22],1100,NA,32.3,46.1,6.8,3.3,1.3,2.8,0.9,1.2,0.9,NA,13.8
2011-10-27,Metroscopia/El País[41],1500,70,30.3,45.3,6,NA,NA,4.2,NA,NA,NA,NA,15.0
2011-10-27,Sigma Dos/El Mundo[42][43],7400,NA,31,47.4,5.3,3.5,1.1,3.1,0.9,NA,NA,NA,16.4
2011-10-24,Sigma Dos/El Mundo[44][45],3000,NA,31.3,47.5,5.3,3.3,1.1,3.1,0.8,NA,NA,NA,16.2
2011-10-23,CIS[46][47],17236,NA,29.9,46.6,6.2,3.3,1.2,2.9,1.2,0.8,0.6,1.1,16.7
2011-10-22,NC Report/La Razón[48],1000,68.6,31.2,46.2,7.2,3.1,1,2.8,0.7,1.2,0.9,NA,15.0
2011-10-21,InvyMark/laSexta[29],NA,NA,35.1,45.4,4.2,NA,NA,NA,NA,NA,NA,NA,10.3
2011-10-20,Obradoiro de Socioloxía/Público[49],1800,NA,33.1,44.7,6.7,2.7,1.4,2.6,1.2,0.8,NA,1.3,11.6
2011-10-20,Sigma Dos/El Mundo[50][51],3000,73.3,30.7,47.8,5.4,3.4,1.1,3.2,0.9,NA,NA,NA,17.1
2011-10-17,Sigma Dos/El Mundo[52],3300,NA,30.7,47.9,5.4,3.4,1.2,2.9,1,NA,NA,NA,17.2
2011-10-17,Intercampo/GETS[53][54],1724,NA,32.2,46.3,4.9,2.8,1,4.4,1.1,NA,NA,NA,14.1
2011-10-17,Intercampo/GETS[53][54],1724,NA,32,46,5,2.85,1,4.5,1,NA,NA,NA,14.0
2011-10-17,Intercampo/GETS[53][54],1724,NA,31,48,4.5,2.9000000000000004,1,4.5,0.85,NA,NA,NA,17.0
2011-10-14,NC Report/La Razón[55],NA,68.3,30.9,46.4,7,3.3,1.2,2.9,0.7,1.2,0.9,NA,15.5
2011-10-13,Sigma Dos/El Mundo[56][57],900,NA,30.8,48,5.3,3.4,1.2,3,1,NA,NA,NA,17.2
2011-10-13,Metroscopia/El País[58][59][60],1500,70,29.7,45.5,7.6,NA,NA,4.5,NA,NA,NA,NA,15.8
2011-10-10,Simple Lógica[16],NA,NA,31.8,46.7,5.1,2.8,1.3,4,NA,NA,NA,NA,14.9
2011-10-10,Sigma Dos/El Mundo[61][62],3600,NA,31.4,47.6,5.2,3.3,1.3,3,1,NA,NA,NA,16.2
2011-10-08,Celeste-Tel/Terra[63][64],1357,69.1,32.7,45.5,6.8,3.3,1.4,3,0.8,1.3,0.9,1.3,12.8
2011-10-07,InvyMark/laSexta[65],NA,NA,35.1,46.1,4.6,3.4,NA,NA,NA,NA,NA,NA,11.0
2011-10-06,Sigma Dos/El Mundo[66][67],3000,NA,31.6,47.8,5.2,3.2,1.2,2.9,1,NA,NA,NA,16.2
2011-10-06,NC Report/La Razón[68][69][70],6100,NA,30.6,45.9,7.2,3.6,1.1,2.9,0.8,1.1,0.9,NA,15.3
2011-10-04,Noxa/La Vanguardia[71],1272,NA,32.9,45.9,4.7,3.2,0.9,3.6,0.5,NA,NA,0.8,13.0
2011-10-04,CEMOP[72][73],800,76,32.4,46.8,6.3,3.6,1.4,3.1,1.3,NA,NA,NA,14.4
2011-09-30,Sigma Dos/El Mundo[74],2000,NA,31.8,47.4,5,3.2,1.2,3.1,0.9,NA,NA,NA,15.6
2011-09-30,Celeste-Tel[63],1100,NA,32.1,45.1,7,3.5,1.2,2.9,0.8,1.3,1,NA,13.0
2011-09-29,PP[75][76],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-09-28,NC Report/La Razón[77],1000,70,30.6,46.1,6.8,3.6,1.1,3,0.8,1,0.9,NA,15.5
2011-09-23,Celeste-Tel[63],1100,NA,31.3,44,7.4,3.6,1.1,2.9,0.8,1.4,1,NA,12.7
2011-09-23,InvyMark/laSexta[65],NA,NA,35.3,45.9,4.5,3.4,NA,NA,NA,NA,NA,NA,10.6
2011-09-22,GESOP/El Periódico[78][79][80],1000,NA,31.4,46.1,4.7,3.7,1,5,1,NA,NA,NA,14.7
2011-09-16,Celeste-Tel[81],1100,NA,31.5,44.2,6.9,3.8,1.2,2.9,0.7,1.2,1,NA,12.7
2011-09-09,InvyMark/laSexta[82],NA,NA,35.5,45.8,NA,NA,NA,NA,NA,NA,NA,NA,10.3
2011-09-08,Opinión 2000/Cadena SER[83][84],1000,NA,32,45,6.5,4,1.5,2,1.5,NA,NA,NA,13.0
2011-09-08,Metroscopia/El País[85][86],1002,70,30.7,44.8,6.2,3.3,NA,4.4,NA,NA,NA,NA,14.1
2011-09-08,Simple Lógica[16],1022,NA,32.9,46.7,5.2,2.5,0.9,3.8,NA,NA,NA,NA,13.8
2011-09-06,GAD3/COPE[87][88],504,NA,31.1,45.1,6.1,3.4,1.1,3.9,0.7,0.8,0.3,NA,14.0
2011-09-01,Sigma Dos/El Mundo[89],1000,NA,32.3,47.1,5,3.2,1.2,3.5,0.6,NA,NA,NA,14.8
2011-08-28,NC Report/La Razón[90],NA,69.5,30.8,46.5,6.2,3.8,1.2,3.2,0.7,1,0.6,NA,15.7
2011-08-10,Simple Lógica[16],1014,NA,31.5,44.8,4.3,3,1,4.8,NA,NA,NA,NA,13.3
2011-08-03,DYM/ABC[91],1076,NA,35,47.6,4.7,3.5,1.3,1.8,0.5,NA,NA,2,12.6
2011-07-30,NC Report/La Razón[92],1000,69.3,30.9,46.9,6.6,3.8,1.2,3.2,0.9,1,0.6,NA,16.0
2011-07-28,Metroscopia/El País[93][94],1203,70,30.8,44.8,6.6,NA,NA,3.8,NA,NA,NA,NA,14.0
2011-07-12,Simple Lógica[16],NA,NA,30.8,46.3,5.1,2.3,0.8,4.3,NA,NA,NA,NA,15.5
2011-07-11,CIS[95][96],2475,NA,36,43.1,5.1,3.1,1,3,1.1,0.5,0.5,NA,7.1
2011-07-08,Ipsos[97],NA,NA,36,44.2,4.4,2.8,1.4,2.4,0.6,1.1,NA,1.2,8.2
2011-07-07,Celeste-Tel[98],1100,NA,34.3,44.2,5.9,3.9,1.2,3.2,0.6,1.1,1,NA,9.9
2011-07-05,GAD/COPE[99][100],504,NA,30.9,46.4,6.1,3.5,1.1,3.4,0.7,0.8,0.3,NA,15.5
2011-06-30,Metroscopia/El País[101][102],1001,70,30.4,44.7,6.4,NA,NA,3.2,NA,NA,NA,NA,14.3
2011-06-30,NC Report/La Razón[103][104],1000,68.5,31,47.1,7,3.7,1.1,3.3,0.8,1,0.5,NA,16.1
2011-06-21,Opinión 2000/Cadena SER[105],1000,NA,38,47,3.5,3,1,1.5,2,NA,NA,NA,9.0
2011-06-07,GAD/COPE[106][107],501,NA,30.7,46.6,6.2,3.6,1.3,3.2,0.7,0.8,0.3,NA,15.9
2011-06-07,Celeste-Tel[98],1100,NA,32.8,45.5,6.5,3.9,1.1,3.1,0.6,1.1,0.9,NA,12.7
2011-06-06,Simple Lógica[16],1000,NA,29.4,46.3,6.4,2.8,1.3,5.3,NA,NA,NA,NA,16.9
2011-06-02,Sigma Dos/El Mundo[108][109],1000,NA,32.1,45.9,5.8,3.5,1,3.6,1.1,NA,NA,NA,13.8
2011-06-02,Metroscopia/El País[110][111],1001,70,31,44.8,6.2,3.2,NA,2.5,NA,NA,NA,NA,13.8
2011-06-02,NC Report/La Razón[112],1000,68.6,31.5,47.2,6.4,3.9,1.2,3.2,0.7,0.9,0.7,NA,15.7
2011-06-01,GESOP/El Periódico[113][114][115],1000,NA,35.3,44,5.8,3,1.2,4.1,0.7,NA,NA,NA,8.7
2011-05-22,2011 local elections,NA,66.2,27.8,37.5,7.4,3.5,1.4,2.1,1.2,1.2,0.9,1.4,9.7
2011-05-13,Simple Lógica[16],1016,NA,30.6,47,6.4,3.3,1.1,3.9,NA,NA,NA,NA,16.4
2011-05-06,Celeste-Tel[98],1100,NA,32,46.2,6.8,4,1.3,3.1,0.6,1.2,0.8,NA,14.2
2011-04-28,Metroscopia/El País[116][117],1200,70,31.7,44.3,NA,NA,NA,NA,NA,NA,NA,NA,12.6
2011-04-22,Ikerfel/Vocento[118][119],45635,NA,35.5,44.5,6,3.9,1.4,2.5,0.9,0.9,0.7,NA,9.0
2011-04-20,NC Report/La Razón[120],1000,NA,31.8,46.4,6.6,3.9,1.3,3.4,0.6,0.8,0.6,NA,14.6
2011-04-19,Obradoiro de Socioloxía/Público[121],2005,NA,37.8,40.1,7.2,3.9,1.3,2.3,0.6,1.1,NA,NA,2.3
2011-04-12,TNS Demoscopia/Antena 3[122][123],3000,72,30.5,45.5,NA,NA,NA,NA,NA,NA,NA,NA,15.0
2011-04-08,InvyMark/laSexta[124],NA,NA,32.7,46.3,NA,NA,NA,NA,NA,NA,NA,NA,13.6
2011-04-08,CIS[125][126],2463,NA,33.4,43.8,5.2,3.5,1.3,3.5,1.3,0.9,0.5,NA,10.4
2011-04-07,Opinión 2000/Cadena SER[127][128],1000,NA,35,47,4.3,3.5,0.7,1.5,2,NA,NA,NA,12.0
2011-04-07,Sigma Dos/El Mundo[129],1000,NA,37.7,45.2,4.1,3.2,1.1,1.5,0.9,NA,NA,NA,7.5
2011-04-07,Celeste-Tel[98],1100,NA,32.3,46.1,6.6,4.1,1.2,3,0.6,1,0.8,NA,13.8
2011-04-05,GAD/COPE[130][131],500,NA,33.7,45.9,6.1,3.7,1.3,2.9,0.8,0.8,0.2,NA,12.2
2011-04-02,NC Report/La Razón[132],1000,67.6,31.6,46.8,6.6,3.9,1.3,3.4,0.6,0.8,0.6,NA,15.2
2011-03-31,Metroscopia/El País[133][134],1004,70,28.3,44.1,NA,NA,NA,NA,NA,NA,NA,NA,15.8
2011-03-25,InvyMark/laSexta[124],NA,NA,32.5,46.4,NA,NA,NA,NA,NA,NA,NA,NA,13.9
2011-03-24,Obradoiro de Socioloxía/Público[135],1201,NA,30.2,43.5,8.1,3.7,1.7,4.8,0.6,1.3,NA,NA,13.3
2011-03-22,TNS Demoscopia/Antena 3[136][137],1000,71.3,29.6,46,NA,NA,NA,NA,NA,NA,NA,NA,16.4
2011-03-09,Sigma Dos/El Mundo[138],1000,NA,31.4,47.9,6.2,3.2,1,2.4,1,NA,NA,NA,16.5
2011-03-09,GAD/COPE[139],502,NA,31.1,46.1,6.5,3.9,1.3,3.8,0.8,0.8,0.2,NA,15.0
2011-03-07,Celeste-Tel[98],1100,NA,32.9,45.9,6.5,3.9,1.2,3.2,0.7,1,0.7,NA,13.0
2011-03-03,Metroscopia/El País[140][141],1004,70,28.1,44,NA,NA,NA,NA,NA,NA,NA,NA,15.9
2011-02-25,JM&A[142],NA,68.9,28.9,47.5,6.3,4.4,1.1,4.2,1,0.9,0.3,NA,22.7
2011-02-25,Obradoiro de Socioloxía/Público[143],1982,NA,30.7,44.4,7.1,3.8,1.3,4.3,0.9,1.3,NA,NA,13.7
2011-02-23,NC Report/La Razón[144],1000,68.5,32.9,46,6.3,3.8,1.3,3.3,0.6,0.8,0.6,NA,13.1
2011-02-22,TNS Demoscopia/Antena 3[145][146],NA,68.5,31.1,45.8,7.1,3.4,1.1,3.5,0.9,0.8,NA,NA,14.7
2011-02-11,InvyMark/laSexta[147],NA,NA,32.3,46.1,NA,NA,NA,NA,NA,NA,NA,NA,13.8
2011-02-08,GAD/COPE[148][149],501,NA,32.1,46.2,6.3,3.9,1.3,2.7,0.8,NA,NA,NA,14.1
2011-02-07,Celeste-Tel[150],1100,NA,34.7,45,6.4,4,1.2,3.3,0.5,1,0.7,NA,10.3
2011-02-03,Sigma Dos/El Mundo[151],1000,NA,31.3,47.4,8.1,2.9,1.1,2.2,0.9,NA,NA,NA,16.1
2011-02-03,Metroscopia/El País[152][153],1005,70,28.4,43.3,NA,NA,NA,NA,NA,NA,NA,NA,14.9
2011-02-02,Opina/Cadena SER[154],1000,NA,34,44,5.5,3,1.2,2,1.1,NA,NA,NA,10.0
2011-01-28,InvyMark/laSexta[147],NA,NA,32.4,46.3,NA,NA,NA,NA,NA,NA,NA,NA,13.9
2011-01-21,Obradoiro de Socioloxía/Público[155],2082,NA,30.9,44,7.5,4.8,1.5,2.9,0.5,0.8,NA,NA,13.1
2011-01-18,TNS Demoscopia/Antena 3[156][157],NA,67.7,30.2,47,7.6,3.3,1.1,2.8,1,0.6,NA,NA,16.8
2011-01-16,CIS[158][159],2478,NA,34,44.1,5.7,3.9,1.2,2.9,0.8,0.9,0.5,NA,10.1
2011-01-13,Opina/Cadena SER[160][161],1000,NA,34,45,6,3.5,1,3.4,1,NA,NA,NA,11.0
2011-01-11,GAD/COPE[162][163],500,NA,31.3,46.5,6.2,3.6,1.4,3.7,0.8,0.9,0.4,NA,15.2
2011-01-10,Celeste-Tel[150],1100,NA,34.4,45.2,6.6,4,1.3,3.5,0.6,1,0.7,NA,10.8
2011-01-04,Metroscopia/El País[164][165],1023,70,28.6,43.1,NA,NA,NA,NA,NA,NA,NA,NA,14.5
2010-12-30,NC Report/La Razón[166],1000,67,30.4,48,7.4,4.2,1.2,3.7,0.6,0.9,0.4,NA,17.6
2010-12-30,DYM/ABC[167][168],1058,NA,30.8,49.3,7.5,4.1,1.3,1.8,1.1,NA,NA,NA,18.5
2010-12-28,Sigma Dos/El Mundo[169][170],1000,NA,30.3,48.7,6.4,3.8,1.2,1.5,0.9,NA,NA,NA,18.4
2010-12-17,GESOP/El Periódico[171][172],1000,NA,31,44.5,7.4,4,1.1,4.2,1,NA,NA,NA,13.5
2010-12-17,InvyMark/laSexta[173],NA,NA,33.4,45.5,NA,NA,NA,NA,NA,NA,NA,NA,12.1
2010-12-16,JM&A[174],NA,65,24.3,47,8,4,NA,6,NA,NA,NA,NA,22.7
2010-12-16,Obradoiro de Socioloxía/Público[175],1600,NA,30,43.2,7.5,4.5,1.6,4.5,0.9,1,NA,NA,13.2
2010-12-14,TNS Demoscopia/Antena 3[176],NA,70.3,30.5,46.1,7.4,3.6,1,3.3,0.9,0.7,NA,NA,15.6
2010-12-14,GAD/COPE[177],500,NA,31.7,46.2,5.9,3.6,1.4,3.1,0.7,0.9,0.4,NA,14.5
2010-12-09,Celeste-Tel[150],1100,NA,34.7,44.8,6.7,4.1,1.3,3.5,0.6,1.1,0.7,NA,10.1
2010-12-07,NC Report/La Razón[178],1000,67.6,30.6,47.6,7.6,4.3,1.2,3.7,0.9,0.9,0.4,NA,17.0
2010-12-03,InvyMark/laSexta[173],NA,NA,33.3,45.6,NA,NA,NA,NA,NA,NA,NA,NA,12.3
2010-12-02,Metroscopia/El País[179][180],1000,75.3,24.3,43.1,7.6,NA,NA,4.3,NA,NA,NA,NA,18.8
2010-11-17,NC Report/La Razón[181],1000,69,32.8,46.3,7.2,4.2,1.2,3.4,0.9,0.9,0.4,NA,13.5
2010-11-16,JM&A[174],NA,69.8,32.6,41.3,6.6,3.7,NA,5.7,NA,NA,NA,NA,8.7
2010-11-16,TNS Demoscopia/Antena 3[182][183],NA,66.5,32.1,45.1,7.1,3.5,0.9,3.2,1,0.8,NA,NA,13.0
2010-11-11,Obradoiro de Socioloxía/Público[184],2402,NA,33.2,41.2,6.5,4,1,4.5,0.8,1.3,NA,NA,8.0
2010-11-10,GAD/COPE[185][186],503,NA,35.1,44.7,5.2,3.4,1.3,2.9,0.9,0.9,0.5,NA,9.6
2010-11-08,Celeste-Tel[150],1100,NA,34.8,44.4,6.9,4,1.2,3.6,0.6,1,0.6,NA,9.6
2010-11-04,Metroscopia/El País[187][188],1000,75.3,33.8,42.9,NA,NA,NA,NA,NA,NA,NA,NA,9.1
2010-10-29,Opina/Cadena SER[189][190],1000,NA,37.5,45,5.5,3.5,1,3.4,1,NA,NA,NA,7.5
2010-10-28,Noxa/La Vanguardia[191],1000,NA,33,42.8,6.6,4.2,1.9,5.1,0.6,NA,NA,NA,9.8
2010-10-21,TNS Demoscopia/Antena 3[192][193],NA,70,34.2,44.3,NA,NA,NA,NA,NA,NA,NA,NA,10.1
2010-10-21,Sigma Dos/El Mundo[194][195],1000,NA,33.8,46.4,6.1,3.3,1.3,1.9,1,NA,NA,NA,12.6
2010-10-17,Intercampo/GETS[196][197],1734,NA,32.4,47.6,6.8,4.4,1.3,2.7,0.5,NA,NA,NA,15.2
2010-10-17,Intercampo/GETS[196][197],1734,NA,33.7,46.9,7.1,4.1,1.2,2.9,0.5,NA,NA,NA,13.2
2010-10-14,CIS[198][199],2475,NA,34.3,42.2,6.2,3.5,1.2,4.1,0.8,0.8,0.7,NA,7.9
2010-10-13,JM&A[174],NA,68.2,29.2,45.9,6.8,3,NA,5.4,NA,NA,NA,NA,16.7
2010-10-13,GAD/COPE[200][201],501,NA,33.9,43.6,6.3,3.5,1.3,3.6,1.1,0.9,0.5,NA,9.7
2010-10-08,Opina/Cadena SER[202],1000,NA,34,46.5,6,4,2,3,0.6,NA,NA,NA,12.5
2010-10-07,NC Report/La Razón[203],1000,69.3,32.5,46.3,7.7,4.1,1.2,3.6,0.9,0.9,0.4,NA,13.8
2010-10-07,Celeste-Tel[204],1100,NA,35,44,6.7,3.8,1.2,3.5,0.7,1,0.7,NA,9.0
2010-10-07,Obradoiro de Socioloxía/Público[205][206],2329,65,29.4,42.8,6.9,4.8,0.9,5.4,1.1,1.4,NA,NA,13.4
2010-09-30,Metroscopia/El País[207][208],500,75.3,28.5,43,NA,NA,NA,NA,NA,NA,NA,NA,14.5
2010-09-21,TNS Demoscopia/Antena 3[209][210],NA,68,31.1,44.6,7.8,3.6,1,3.9,1,NA,NA,NA,13.5
2010-09-15,GAD/COPE[200][211][212],500,NA,34.9,43.1,6.1,3.4,1.3,3.3,1.2,0.9,0.5,NA,8.2
2010-09-10,NC Report/La Razón[213],1000,69.6,35.4,45.4,6.2,4.1,1.2,3.6,0.9,0.9,0.5,NA,10.0
2010-09-07,Celeste-Tel[204],1100,NA,35.2,43.8,6.4,3.7,1.2,3.3,0.7,1,0.7,NA,8.6
2010-09-02,Metroscopia/El País[214][215],500,75.3,32.9,41.8,NA,NA,NA,NA,NA,NA,NA,NA,8.9
2010-08-31,Opina/Cadena SER[216][217],1000,NA,36.5,44.5,6,3.5,1.5,2.5,0.6,NA,NA,NA,8.0
2010-08-06,JM&A[174],NA,68.2,31.6,42.9,5.6,4,NA,4.7,NA,NA,NA,NA,11.3
2010-07-30,Celeste-Tel[204],1100,NA,35.8,43.9,6.3,3.6,1.2,3.2,0.7,1,0.8,NA,8.1
2010-07-29,Metroscopia/El País[218][219],500,75.3,33.6,41.3,NA,NA,NA,NA,NA,NA,NA,NA,7.7
2010-07-22,CIS[220][221],2472,NA,34.9,41.2,5.4,4.1,1.3,3.8,1.4,1.1,0.4,NA,6.3
2010-07-15,Metroscopia/El País[222],500,75.3,34.5,43.3,NA,NA,NA,NA,NA,NA,NA,NA,8.8
2010-07-13,TNS Demoscopia/Antena 3[223],NA,64.3,32.4,43.6,6.2,3.6,1.2,4.1,1.2,NA,NA,NA,11.2
2010-07-09,NC Report/La Razón[224],1000,69.8,35.8,45.2,6.3,3.7,1.2,3.6,0.9,0.9,0.6,NA,9.4
2010-07-07,GAD/COPE[200][225][226],500,NA,34.6,43.3,5.7,3.4,1.3,3.1,1.3,0.8,0.6,NA,8.7
2010-07-07,Celeste-Tel[204],1100,NA,36.1,43.8,5.9,3.6,1.2,3.1,0.7,1,0.8,NA,7.7
2010-07-02,Ipsos[227][228],1000,NA,33.3,42.9,5.9,3.7,1.6,3.9,1.3,NA,NA,NA,9.6
2010-07-02,InvyMark/laSexta[229],NA,NA,37.4,44.8,NA,NA,NA,NA,NA,NA,NA,NA,7.4
2010-07-01,Metroscopia/El País[230][231],501,75.3,32.3,43.1,NA,NA,NA,NA,NA,NA,NA,NA,10.8
2010-06-18,InvyMark/laSexta[232],NA,NA,37.4,45,NA,NA,NA,NA,NA,NA,NA,NA,7.6
2010-06-15,TNS Demoscopia/Antena 3[233][234],NA,67.8,31.6,44.5,7.7,NA,NA,4.3,NA,NA,NA,NA,12.9
2010-06-10,DYM/ABC[235],1008,NA,33.5,45.3,6.4,4.2,0.8,2.9,0.9,NA,NA,NA,11.8
2010-06-09,GAD/COPE[236][237],502,NA,34.7,43.6,4.9,3.4,1.2,3.7,1.2,NA,NA,NA,8.9
2010-06-09,Obradoiro de Socioloxía/Público[238],NA,NA,33.1,41.7,7.5,3.5,1.2,5.5,1,1.3,NA,NA,8.6
2010-06-07,Celeste-Tel[204],1100,NA,36.8,43.5,5.9,3.6,1.2,3.1,0.7,1,0.8,NA,6.7
2010-06-04,InvyMark/laSexta[232],NA,NA,37.2,46.1,NA,NA,NA,NA,NA,NA,NA,NA,8.9
2010-06-02,Metroscopia/El País[239][240],506,75.3,32.5,43,NA,NA,NA,NA,NA,NA,NA,NA,10.5
2010-05-28,NC Report/La Razón[241][242],1000,69.9,36,45,6,3.5,1.2,3.7,1,0.9,0.7,NA,9.0
2010-05-27,Sigma Dos/El Mundo[243][244],800,NA,35.1,45.6,5.1,3.3,1.2,3,0.8,NA,NA,NA,10.5
2010-05-21,GESOP/El Periódico[245][246][247],1500,NA,34,42,6.4,3.6,1,5,1,NA,NA,NA,8.0
2010-05-21,InvyMark/laSexta[248][249],NA,NA,39.7,45.1,NA,NA,NA,NA,NA,NA,NA,NA,5.4
2010-05-19,Obradoiro de Socioloxía/Público[250],4002,NA,34.1,40.4,6.5,3.2,1.1,6.4,1.2,1.2,NA,NA,6.3
2010-05-13,Metroscopia/El País[251],510,75.3,33.7,42.8,NA,NA,NA,NA,NA,NA,NA,NA,9.1
2010-05-13,TNS Demoscopia/Antena 3[252],1000,67.5,32.1,44.3,7,3.5,1.1,4.2,0.9,0.6,NA,NA,12.2
2010-05-12,GAD/COPE[200][253][254],500,NA,35.9,42.4,5.2,3.5,1.1,3.9,1.1,0.7,0.7,NA,6.5
2010-05-11,Simple Lógica[16],508,NA,34.4,43.2,4.8,2.8,1.3,4.1,NA,NA,NA,NA,8.8
2010-05-07,Celeste-Tel[204],1100,NA,38.2,42.9,5.5,3.5,1.1,3.1,0.7,0.9,0.9,NA,4.7
2010-05-07,InvyMark/laSexta[248],NA,NA,40.3,45,NA,NA,NA,NA,NA,NA,NA,NA,4.7
2010-04-30,NC Report/La Razón[255],1000,70.6,37.4,43.8,5.8,3.4,1.1,3.7,1,NA,NA,NA,6.4
2010-04-29,Metroscopia/El País[256][257],512,75.3,37.5,41.7,NA,NA,NA,NA,NA,NA,NA,NA,4.2
2010-04-27,TNS Demoscopia/Antena 3[258][259],1000,62,36.1,41.5,5.4,3.1,1.1,3,0.9,0.6,NA,NA,5.4
2010-04-14,CIS[260][261],2479,NA,38,39.5,5.8,3.6,1.3,3.3,1,0.7,0.6,NA,1.5
2010-04-09,InvyMark/laSexta[262][263],NA,NA,40.6,44.7,NA,NA,NA,NA,NA,NA,NA,NA,4.1
2010-04-08,Metroscopia/El País[264][265],515,75.3,37.8,41.8,NA,NA,NA,NA,NA,NA,NA,NA,4.0
2010-04-08,Celeste-Tel[204],1100,NA,38.3,42.8,5.5,3.5,1.2,3,0.7,0.9,0.9,NA,4.5
2010-03-31,NC Report/La Razón[266],1000,70.7,37.6,43.6,5.7,3.4,1.2,3.7,1,NA,NA,NA,6.0
2010-03-26,InvyMark/laSexta[262][267],NA,NA,40.4,44.8,NA,NA,NA,NA,NA,NA,NA,NA,4.4
2010-03-12,InvyMark/laSexta[268],NA,NA,40.6,44.6,NA,NA,NA,NA,NA,NA,NA,NA,4.0
