date,Firm,Sample,Turnout,People%27s_Party_(Spain),Spanish_Socialist_Workers%27_Party,Podemos_(Spanish_political_party),Citizens_(Spanish_political_party),Popular_Unity_(Spain),Republican_Left_of_Catalonia%E2%80%93Catalonia_Yes,Democracy_and_Freedom,Democratic_Convergence_of_Catalonia,Basque_Nationalist_Party,Animalist_Party_Against_Mistreatment_of_Animals,EH_Bildu,Canarian_Coalition,Unidos_Podemos
2016-06-16,GESOP/El Periódico[32],900,69,28.6,20.8,NA,15.6,NA,NA,NA,NA,NA,NA,NA,24.1,4.5
2016-06-16,GAD3/ABC[33],1400,NA,30.3,21.4,NA,14.4,NA,2.3,1.7,1.2,NA,0.8,0.3,24.6,5.7
2016-06-16,Celeste-Tel/eldiario.es[34],1100,66.4,30.3,21.8,NA,13.4,NA,2.4,1.7,1.2,0.8,0.8,0.3,25.1,5.2
2016-06-16,MyWord/Cadena SER[35][36],1502,NA,28.9,20.4,NA,14.4,NA,NA,NA,NA,NA,NA,NA,24.8,4.1
2016-06-15,DYM/El Confidencial[37][38],1011,72,29,21,NA,15.2,NA,NA,NA,NA,NA,NA,NA,24.9,4.1
2016-06-15,Metroscopia/El País[39][40][41],1800,70,29,20.5,NA,14.5,NA,NA,NA,NA,NA,NA,NA,26,3
2016-06-15,GESOP/El Periódico[42],900,68,28.3,20.8,NA,15.4,NA,NA,NA,NA,NA,NA,NA,24.5,3.8
2016-06-15,Advice Strategic/Europa Press[43],2500,NA,29.6,20.5,NA,14.8,NA,NA,NA,NA,NA,NA,NA,25.1,4.5
2016-06-15,Simple Lógica[44],1226,70.9,29.2,22.5,NA,15.4,NA,NA,NA,NA,NA,NA,NA,23.5,5.7
2016-06-14,GESOP/El Periódico[45],900,69,27.8,21.1,NA,15.2,NA,NA,NA,NA,NA,NA,NA,24.7,3.1
2016-06-14,Redondo & Asociados/Tiempo[46][47],1000,NA,29.2,21.1,NA,15.3,NA,2.2,1.5,1.1,NA,0.9,0.3,24.6,4.6
2016-06-14,Celeste-Tel/eldiario.es[48],1100,66.3,29.8,22,NA,13.8,NA,2.4,1.7,1.2,NA,0.8,0.3,24.9,4.9
2016-06-13,JM&A/Público[49],NA,69,29.2,21.1,NA,15.1,NA,2.4,2.2,1.2,NA,0.9,0.3,24.4,4.8
2016-06-13,GESOP/El Periódico[50],900,70,28,21,NA,14.9,NA,NA,NA,NA,NA,NA,NA,24.9,3.1
2016-06-12,TNS Demoscopia[51],500,69,29,21.3,NA,15.6,NA,NA,NA,NA,NA,NA,NA,24.5,4.5
2016-06-10,SYM Consulting/Valencia Plaza[52],1816,72.8,29.7,22.9,NA,13.4,NA,NA,NA,NA,NA,NA,NA,24.4,5.3
2016-06-10,NC Report/La Razón[3][29],1000,NA,30.6,21.3,NA,13.7,NA,2.3,1.7,1.1,NA,0.8,0.3,24.8,5.8
2016-06-10,Netquest/El Español[53],2000,NA,28.8,21,NA,15.8,NA,NA,NA,NA,NA,NA,NA,24.7,4.1
2016-06-09,GAD3/La Vanguardia[54],1016,70,29.8,21.4,NA,14.9,NA,2.4,1.8,1.2,NA,0.9,0.3,24.3,5.5
2016-06-09,Sondaxe/La Voz de Galicia[55][56],1005,NA,29.2,21.4,NA,12.9,NA,2.4,1.9,0.9,NA,0.9,NA,26.1,3.1
2016-06-08,Metroscopia/El País[57][58][59],1200,70,28.9,20.8,NA,15.9,NA,NA,NA,NA,NA,NA,NA,25.4,3.5
2016-06-07,InvyMark/laSexta[60],NA,NA,30.1,20,NA,14.4,NA,2.6,1.7,1.3,NA,NA,NA,24.8,5.3
2016-06-07,GESOP/El Periódico[61][62],1816,NA,27.9,21.2,NA,15.5,NA,2.3,1.6,NA,NA,NA,NA,24.5,3.4
2016-06-07,Celeste-Tel/eldiario.es[63],1100,65.6,29.7,22.1,NA,14.3,NA,2.4,1.7,1.2,NA,0.9,0.3,24.4,5.3
2016-06-05,Encuestamos[64],2000,NA,30.4,21.9,NA,13.6,NA,2.3,2,1.3,NA,0.7,0.2,23.6,6.8
2016-06-03,Netquest/El Español[65],1000,NA,27.7,21.6,NA,15.4,NA,NA,NA,NA,NA,NA,NA,24.3,3.4
2016-06-03,NC Report/La Razón[66][67],2000,63.9,30.5,21.4,NA,13.9,NA,2.3,1.7,1.1,NA,0.8,0.3,24.5,6
2016-06-02,Sigma Dos/El Mundo[68],1000,NA,31,20.3,NA,14,NA,2.6,2.2,1.3,NA,NA,NA,23.7,7.3
2016-06-01,JM&A/Público[69],NA,69.5,28.7,21.7,NA,14.8,NA,2.3,2.5,1.3,NA,0.9,0.4,24.1,4.6
2016-06-01,PSOE[70],1000,NA,27.9,23.8,NA,14.5,NA,NA,NA,NA,NA,NA,NA,22.4,4.1
2016-06-01,Metroscopia/El País[71][72][73],1200,68,28.5,20.2,NA,16.6,NA,NA,NA,NA,NA,NA,NA,25.6,2.9
2016-05-31,CDC[74],NA,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-05-27,NC Report/La Razón[75][76],2000,NA,30.5,21.3,NA,14.2,NA,2.2,1.6,1.1,NA,0.8,0.3,24.7,5.8
2016-05-26,GAD3/ABC[77],1000,70,29.6,21.6,NA,14.8,NA,2.4,2.2,1.2,NA,0.9,0.3,22.5,7.1
2016-05-25,Advice Strategic/Europa Press[78],2500,NA,29.8,20.4,NA,14.7,NA,NA,NA,NA,NA,NA,NA,24.4,5.4
2016-05-24,MyWord/Cadena SER[79][80],1000,NA,29.2,20.7,NA,14.2,NA,NA,NA,NA,NA,NA,NA,24.8,4.4
2016-05-22,CIS[81][82],17488,NA,29.2,21.2,NA,14.6,NA,2.4,1.8,1.2,NA,0.9,0.2,25.6,3.6
2016-05-22,Encuestamos[83],2000,NA,30.3,22.9,NA,13.9,NA,2.4,2.2,1.1,NA,0.6,0.3,23.2,7.1
2016-05-20,Celeste-Tel/eldiario.es[84][85],1100,65,29.5,22,NA,14.9,NA,2.3,1.5,1.2,1.1,0.9,0.3,24.2,5.3
2016-05-20,NC Report/La Razón[86][87],2500,63.5,30.4,21.1,NA,14.5,NA,2.3,1.5,1.1,NA,0.8,0.3,24.9,5.5
2016-05-18,Metroscopia/El País[88][89][90][91],1200,72,28.4,20.1,NA,16.4,NA,NA,NA,NA,NA,NA,NA,22.9,5.5
2016-05-18,Metroscopia/El País[88][89][90][91],1200,68,29.9,20.2,NA,15.5,NA,NA,NA,NA,NA,NA,NA,23.2,6.7
2016-05-18,Metroscopia/El País[88][89][90][91],1200,63,31.5,21.1,NA,13.3,NA,NA,NA,NA,NA,NA,NA,23.7,7.8
2016-05-18,GIPEyOP[92],2940,NA,29.3,21.9,NA,13.3,NA,2.5,2.1,1.2,NA,0.8,0.3,24.3,5
2016-05-17,Redondo & Asociados/Tiempo[93][94],1000,70.1,29.4,21.2,NA,15.1,NA,2.2,1.5,1.1,NA,0.9,0.3,24.3,5.1
2016-05-13,JM&A/Público[95],NA,69.2,27.8,20.3,NA,16.6,NA,2.3,2.3,1.3,NA,0.9,0.3,24.5,3.3
2016-05-13,Netquest/El Español[96],1000,NA,30.8,19.7,NA,14.7,NA,NA,NA,NA,NA,NA,NA,23.7,7.1
2016-05-13,InvyMark/laSexta[97],NA,NA,29.6,20.1,NA,15.1,NA,NA,NA,NA,NA,NA,NA,24.2,5.4
2016-05-12,NC Report/La Razón[98][99][100],1500,NA,30.2,21,NA,14.7,NA,2.2,1.5,1.1,NA,0.9,0.3,24.9,5.3
2016-05-10,Simple Lógica[101],1035,71.7,29.9,21.5,14.2,17.7,7.9,NA,NA,NA,NA,NA,NA,NA,8.4
2016-05-07,NC Report/La Razón[102][103],2000,63.6,30.2,20.8,NA,15,NA,2.1,1.5,1.2,NA,0.8,0.3,24.7,5.5
2016-05-06,Celeste-Tel/eldiario.es[104],1100,64.5,29.2,22.4,NA,15.5,NA,2.4,1.5,1.2,NA,0.9,0.3,24.2,5
2016-05-06,Celeste-Tel/eldiario.es[104],1100,64.5,29.1,21.9,19.8,15.4,5.3,2.4,1.5,1.2,0.9,0.9,0.3,NA,7.2
2016-05-02,Encuestamos[105],1800,NA,30,22.8,19.1,14.1,4.8,2.4,2.3,1.2,NA,0.6,0.3,NA,7.2
2016-04-30,NC Report/La Razón[106][107],2000,63.9,29.9,20.4,20.9,15,5,NA,NA,NA,NA,NA,NA,NA,9
2016-04-29,GAD3/ABC[108][109],800,69,29.3,22.6,17,13.9,5.3,2.1,1.8,1.3,NA,0.9,0.4,NA,6.7
2016-04-29,InvyMark/laSexta[110][111],1200,NA,28.7,19.4,20.7,15.4,4.8,NA,NA,NA,NA,NA,NA,NA,8
2016-04-28,Metroscopia/El País[112][113],1200,70,29,20.3,18.1,16.9,6.6,NA,NA,NA,NA,NA,NA,NA,8.7
2016-04-23,NC Report/La Razón[114][115][116],2000,63.9,29.9,20.5,21.2,15.2,4.6,NA,NA,NA,NA,NA,NA,NA,8.7
2016-04-22,Netquest/El Español[117],1000,NA,27.3,20.2,18.7,17,5.8,NA,NA,NA,NA,NA,NA,NA,7.1
2016-04-22,Sigma Dos/El Mundo[118],800,NA,29.5,22.2,18.6,14.7,4.5,2.6,1.9,1.1,NA,NA,NA,NA,7.3
2016-04-20,Encuestamos[119],2000,NA,30.3,23,19.4,14.2,4.4,2.6,2.2,1.1,NA,0.6,0.3,NA,7.3
2016-04-16,NC Report/La Razón[120][121][122],2400,64.2,29.8,20.7,20.9,15.4,4.5,2.2,1.5,1.2,NA,0.7,0.3,NA,8.9
2016-04-15,InvyMark/laSexta[123][124],NA,NA,28.6,20.4,19.2,15.8,5.4,NA,NA,NA,NA,NA,NA,NA,8.2
2016-04-14,TNS Demoscopia[125],1000,68,29.4,22.3,17.5,15.8,6,NA,NA,NA,NA,NA,NA,NA,7.1
2016-04-14,NC Report[126],955,NA,30.7,21.2,21.9,14.5,4.9,NA,NA,NA,NA,NA,NA,NA,8.8
2016-04-13,JM&A/Público[127],NA,66.9,27.9,19.8,20.9,17,3.6,2.4,2.4,1.3,NA,0.9,0.4,NA,7
2016-04-12,Simple Lógica[128],1047,73.8,28.3,20.6,16.9,17.7,6.9,NA,NA,NA,NA,NA,NA,NA,7.7
2016-04-10,IMOP/Llorente & Cuenca[129],1027,69,28.8,22.2,15.6,16.6,7.5,2.2,1.7,1.1,NA,0.7,NA,NA,6.6
2016-04-10,Advice Strategic/Europa Press[130],2500,NA,29.1,21.7,17.4,16,5.5,2.3,2,1.2,NA,NA,NA,NA,7.4
2016-04-10,CIS[131][132][133][134],2490,NA,27.4,21.6,17.7,15.6,5.4,2.5,1.9,1,NA,0.7,0.4,NA,5.8
2016-04-09,NC Report/La Razón[135][136],2300,NA,29.6,21,20.4,15.5,4.4,2.3,1.5,1.3,NA,0.7,0.3,NA,8.6
2016-04-07,GAD3/ABC[137][138],800,68,29.2,23.3,15.5,14.4,6.7,2.3,2,1.1,NA,0.8,0.2,NA,5.9
2016-04-06,Metroscopia[139],1200,70,29,20.1,17,17.7,6.7,NA,NA,NA,NA,NA,NA,NA,8.9
2016-04-06,DYM/El Confidencial[140],1036,NA,29.2,20.7,19.6,15.2,5.9,NA,NA,NA,NA,NA,NA,NA,8.5
2016-04-05,Celeste-Tel/eldiario.es[141][142],1100,64.9,29.1,22.2,19.4,15.9,4.5,2.7,1.8,1.1,NA,0.7,0.3,NA,6.9
2016-04-05,Estudio de Sociología Consultores[143],2300,NA,29.2,23.7,17.5,16.1,4.6,3,1.7,NA,NA,NA,NA,NA,4.5
2016-04-04,Redondo & Asociados/Tiempo[144][145],1000,69.7,29.1,21.8,19.1,15.7,4.9,2.4,1.7,1.3,NA,0.7,0.3,NA,7.3
2016-04-02,NC Report/La Razón[146],1800,NA,29.4,21.8,19.2,15.5,4.6,2.4,1.6,1.3,NA,0.7,0.3,NA,7.6
2016-04-01,InvyMark/laSexta[147][148],1200,NA,28.6,21.6,19.9,15.2,4.1,NA,NA,NA,NA,NA,NA,NA,7
2016-03-31,Sigma Dos/El Mundo[149],800,NA,30.2,22,16.7,16.2,4.5,2.3,2.1,1.1,NA,NA,NA,NA,8.2
2016-03-30,Metroscopia/El País[150][151][152],1200,73,27.7,21,15.9,18.8,6.9,NA,NA,NA,NA,NA,NA,NA,6.7
2016-03-30,Netquest/El Español[153],1002,NA,27.5,19.3,17.3,16.9,7.3,NA,NA,NA,NA,NA,NA,NA,8.2
2016-03-27,NC Report/La Razón[154][155][156],900,NA,29.4,22,19.4,15.3,4.6,2.4,1.7,1.3,NA,0.7,0.3,NA,7.4
2016-03-20,Encuestamos[157],2000,NA,30.1,23.2,19.6,14.2,4.1,2.6,2.2,1.2,NA,0.6,0.3,NA,6.9
2016-03-17,NC Report/La Razón[158][159],1000,64.7,29.3,22.1,19.5,15.1,4.4,2.3,1.8,1.2,NA,0.8,0.4,NA,7.2
2016-03-14,MyWord/Cadena SER[160][161],1004,NA,27,20.9,15.9,18,7.1,NA,NA,NA,NA,NA,NA,NA,6.1
2016-03-11,InvyMark/laSexta[162],NA,NA,28.5,20.8,21.5,14.3,4.3,NA,NA,NA,NA,NA,NA,NA,7
2016-03-11,NC Report/La Razón[163][164],2300,NA,29.3,22,19.8,15.1,4.4,2.4,1.8,1.2,NA,0.8,0.3,NA,7.3
2016-03-10,GAD3/ABC[165][166],800,67,28.2,24.2,18.7,14.1,3.2,2.9,1.8,1.2,NA,0.7,0.3,NA,4
2016-03-09,Metroscopia/El País[167][168][169],1200,75,26,23.1,16.8,19.5,5.4,NA,NA,NA,NA,NA,NA,NA,2.9
2016-03-09,Sondaxe/La Voz de Galicia[170][171],1002,NA,28.6,22,19.1,15.6,4.2,2.5,2.1,1.2,NA,0.8,0.3,NA,6.6
2016-03-09,Simple Lógica[172],1206,72.5,26.2,21.6,18.3,17.1,7.9,NA,NA,NA,NA,NA,NA,NA,4.6
2016-03-08,GESOP/El Periódico[173][174],1000,NA,26.4,21.9,18.1,17.8,5.9,2.4,1.5,NA,NA,NA,NA,NA,4.5
2016-03-05,Celeste-Tel/eldiario.es[175][176],1100,66.1,28.6,22.6,19.6,15.7,4.6,2.5,1.9,1.1,NA,0.8,0.3,NA,6
2016-03-04,NC Report/La Razón[177][178],1400,65,29.2,21.8,20.2,14.9,4.2,2.4,1.9,1.2,NA,0.8,0.4,NA,7.4
2016-03-03,JM&A/Público[179],NA,67.3,26.5,20.2,20.9,16.9,3.3,2.6,2.4,1.3,NA,1,0.4,NA,5.6
2016-02-26,InvyMark/laSexta[180][181],1200,NA,26.8,20.3,22.1,15.8,4.5,NA,NA,NA,NA,NA,NA,NA,4.7
2016-02-23,DYM/El Confidencial[182],1071,NA,25.6,22.1,19.8,17.6,5.4,NA,NA,NA,NA,NA,NA,NA,3.5
2016-02-19,InvyMark/laSexta[183],NA,NA,26.4,21.8,20.7,16.2,4.2,NA,NA,NA,NA,NA,NA,NA,4.6
2016-02-18,Sigma Dos/El Mundo[184][185],1000,NA,27.8,23.1,18.8,15.3,4,2.4,2.1,1.1,NA,NA,NA,NA,4.7
2016-02-18,NC Report/La Razón[186][187],1400,65.3,28.9,21.4,21.1,14.2,3.4,2.5,2,1.2,NA,0.8,0.3,NA,7.5
2016-02-17,Encuestamos[188],1800,NA,27.7,24.2,20.5,13.9,3.4,2.5,2.1,1.1,NA,0.9,0.3,NA,3.5
2016-02-16,GIPEyOP[189],1960,NA,27.1,22.3,22.3,14.9,3.2,2.4,2.4,1.2,NA,0.7,NA,NA,4.8
2016-02-11,GAD3/ABC[190][191],800,68,27.9,20.8,21.4,14.9,3.3,2.6,1.9,1.4,NA,0.7,0.3,NA,6.5
2016-02-10,Estudio de Sociología Consultores[192],2100,NA,29,22.6,20.9,14,4,3.4,1.8,1.1,NA,NA,NA,NA,6.4
2016-02-07,JM&A/Público[193],NA,70.5,27.8,20.4,21.2,14.9,3.8,2.6,2.3,1.2,NA,0.9,0.3,NA,6.6
2016-02-05,Simple Lógica[194],1048,75.6,26.9,21.7,20.3,18.9,5.1,NA,NA,NA,NA,NA,NA,NA,5.2
2016-02-05,Celeste-Tel/eldiario.es[195][196],1100,66.6,28.5,22.4,20.4,15.1,3.7,2.7,2,1.2,NA,0.8,0.4,NA,6.1
2016-02-05,InvyMark/laSexta[197],NA,NA,27.8,21.1,21.6,15.1,3.8,NA,NA,NA,NA,NA,NA,NA,6.2
2016-02-04,Metroscopia/El País[198][199][200],1000,73,24,23.3,19.9,18.5,4.3,NA,NA,NA,NA,NA,NA,NA,0.7
2016-01-21,GAD3/ABC[201][202],802,70,30.1,21.3,20,13.4,2.9,2.4,2.1,1.1,NA,1.1,0.3,NA,8.8
2016-01-21,NC Report/La Razón[203][204],1900,65.6,30.7,21.1,21.9,12,3.4,2.4,2.2,1.2,NA,0.8,0.3,NA,8.8
2016-01-19,MyWord/Cadena SER[205][206],1000,NA,28,21.3,20.3,14.4,4.7,NA,NA,NA,NA,NA,NA,NA,6.7
2016-01-16,Redondo & Asociados[207],NA,NA,30.5,20.7,22.8,10.9,NA,NA,NA,NA,NA,NA,NA,NA,7.7
2016-01-15,InvyMark/laSexta[208],NA,NA,30.8,20.8,21.6,12.6,3.5,NA,NA,NA,NA,NA,NA,NA,9.2
2016-01-15,Celeste-Tel/eldiario.es[209][210],1100,67.5,30.2,21.9,22.1,12.6,3.3,2.5,2.1,1.1,NA,0.9,0.3,NA,8.1
2016-01-15,NC Report[126],955,NA,30.5,22.1,20.7,13.4,3.6,NA,NA,NA,NA,NA,NA,NA,8.4
2016-01-15,Encuestamos[211],1800,NA,33.2,22.2,21.4,10.9,2.9,2.5,2,1.1,NA,0.8,0.3,NA,11
2016-01-14,Metroscopia/El País[212][213][214],1200,76.4,29,21.1,22.5,16.6,3.2,NA,NA,NA,NA,NA,NA,NA,6.5
2016-01-14,Estudio de Sociología Consultores[215],2200,NA,32.4,22.4,20.5,13.2,3.9,NA,NA,NA,NA,NA,NA,NA,10
2016-01-12,Simple Lógica[216],1050,77.1,30,20.4,21.3,14.7,4.8,NA,NA,NA,NA,NA,NA,NA,8.7
2016-01-11,IMOP/Llorente & Cuenca[217],1000,69,31.4,23.5,19.5,11.8,3.4,2.3,1.8,1.2,NA,0.9,NA,NA,7.9
2016-01-11,CIS[218][219][220],2496,NA,28.8,20.5,21.9,13.3,3.7,2.8,1.7,1.3,NA,1,0,NA,6.9
2015-12-20,2015 general election,NA,69.7,28.7,22,20.7,13.9,3.7,2.4,2.2,1.2,0.9,0.9,0.3,NA,6.7
