date,Firm,Sample,Turnout,People%27s_Party_(Spain),Spanish_Socialist_Workers%27_Party,United_Left_(Spain),Convergence_and_Union,Basque_Nationalist_Party,Galician_Nationalist_Bloc,Canarian_Coalition,Republican_Left_of_Catalonia,Lead
2004-03-03,Opina/Cadena SER[29][30][31],NA,NA,41.5,36.5,6.5,3,1.6,1.1,0.8,2,5.0
2004-03-03,Vox Pública/El Periódico[32],2071,72,42.5,37.3,7.1,3.2,1.5,NA,NA,1.9,5.2
2004-03-03,Citigate Sanchís/La Gaceta[22][33][34],1007,NA,42.8,37.3,5.7,3.1,1.5,NA,1.4,2.2,5.5
2004-03-03,Noxa/La Vanguardia[35],2200,NA,41.4,39.2,6.3,3,2.1,NA,1,2.1,2.2
2004-03-02,Opina/Cadena SER[36][37][38],NA,NA,41,36.5,6.5,3.2,1.7,NA,NA,NA,4.5
2004-03-02,Sigma Dos/El Mundo[39][40],12500,NA,42.8,36.6,5.7,3.3,1.8,1.2,NA,1.9,6.2
2004-03-01,Opina/Cadena SER[41][42][43],NA,NA,40.5,36.5,6.5,3.2,1.7,NA,NA,NA,4.0
2004-03-01,Opina/El País[44][45][46],4000,NA,42,38,6.3,3,1.7,0.9,0.9,1.9,4.0
2004-02-29,Opina/Cadena SER[47][48][49],NA,NA,40.5,36.5,7,3.5,1.5,1,1,1.5,4.0
2004-02-29,Ipsos–Eco/Prensa Ibérica[34][50][51],NA,NA,41.3,37.4,6.5,3.4,1.4,NA,NA,NA,3.9
2004-02-29,Citigate Sanchís/La Gaceta[33][34],NA,NA,44.4,36.8,5.6,3.2,2.1,NA,NA,NA,7.6
2004-02-28,Opina/Cadena SER[52][53],NA,NA,41,36.5,6.5,3.8,1.6,NA,NA,NA,4.5
2004-02-27,Opina/Cadena SER[54][55][56],NA,NA,41.5,36.5,6.4,3.8,1.6,NA,NA,NA,5.0
2004-02-27,Atento STC/Expansión[57][58],NA,NA,40.4,37.5,5,NA,NA,NA,NA,NA,2.9
2004-02-26,Opina/Cadena SER[50][59][60][61],3000,NA,41.5,36.5,6,4,1.5,NA,NA,NA,5.0
2004-02-26,Infortécnica[62],4656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004-02-25,Sigma Dos/Antena 3[1],NA,NA,43.3,35.8,5.8,3.6,1.4,NA,NA,NA,7.5
2004-02-25,Celeste-Tel/La Razón[34][63][64],NA,NA,42.2,36.1,5.4,3.9,1.8,NA,NA,NA,6.1
2004-02-25,TNS Demoscopia/Vocento[65][66],12760,68,42.2,37.2,7,3.1,1.5,1,0.9,2.1,5.0
2004-02-20,Gallup[67],2036,69.1,43.9,35.1,6.1,3.2,1.5,NA,NA,NA,8.8
2004-02-16,Metra Seis/Colpisa[68][69],5200,70,42,36.2,5.8,3.4,1.9,1.2,0.9,2.1,5.8
2004-02-15,CIS[70][71],24109,75.1,42.2,35.5,6.6,3.7,1.8,1.2,1,1.9,6.7
2004-02-12,Noxa/La Vanguardia[72],1800,NA,42.6,38.6,5.8,2.8,2.2,NA,0.9,2,4.0
2004-02-11,Opina/Cadena SER[73][74],1000,NA,41,38,5,5,2,NA,NA,NA,3.0
2004-02-10,Sigma Dos/Antena 3[1][75][76],1000,NA,43.5,35.4,5.2,3.8,1.6,NA,NA,NA,8.1
2004-02-08,Celeste-Tel/La Razón[34][64][50][77],NA,NA,43.9,35.8,5.4,3.9,1.8,NA,NA,NA,8.1
2004-02-08,Sigma Dos/El Mundo[1][78],NA,NA,44.3,34.8,5.6,3.6,1.5,NA,NA,NA,9.5
2004-01-31,Opina/Cadena SER[79][80],1000,NA,41,37,4,4,2,NA,NA,NA,4.0
2004-01-25,Opina/El País[81][82],3000,NA,42.5,37,5.5,3.5,1.5,1,1.3,1.5,5.5
2004-01-22,Gallup[83],2028,68.3,41.9,36.2,6.7,4.3,1.7,NA,NA,NA,5.7
2004-01-21,Vox Pública/El Periódico[84],1501,NA,43,38,5.5,3,1.5,NA,NA,NA,5.0
2004-01-16,Opina/Cadena SER[85][86][87],1000,NA,42,38,4.5,3.5,1.5,NA,NA,NA,4.0
2004-01-09,Noxa/La Vanguardia[88],1000,NA,42.6,36.5,7.2,3,2.1,NA,1,1.4,6.1
2004-01-04,Sigma Dos/El Mundo[1][89],NA,NA,44.6,33.9,6.2,3.8,1.3,NA,NA,NA,10.7
2004-01-02,Opina/Cadena SER[90][91][92],NA,NA,42,40,6,3.5,2,NA,NA,NA,2.0
2003-12-19,Gallup[93][94],2025,70,44.1,35.2,6.1,3.6,1.6,NA,NA,NA,8.9
2003-12-07,Celeste-Tel/La Razón[34][95],NA,NA,43,35.5,5.9,3.6,2,NA,NA,NA,7.5
2003-12-07,Sigma Dos/El Mundo[1][96],NA,NA,44.8,33.7,6.1,3.9,1.5,NA,NA,NA,11.1
2003-12-07,Opina/El País[97][98],1000,NA,42,39,5.5,4,2,NA,NA,NA,3.0
2003-12-05,Metra Seis/Colpisa[95][34][99],NA,NA,44.5,33.1,6.3,4.1,1.4,NA,NA,NA,11.4
2003-11-25,Gallup[100][101],2032,70.5,43.3,36.5,6.7,3.5,1.6,NA,NA,NA,6.8
2003-11-19,Opina/Cadena SER[102][103],1000,NA,42,39,5,4,2,NA,NA,NA,3.0
2003-10-31,CIS[104][105],2488,NA,42.4,34.7,5.9,4,1.4,1.3,NA,NA,7.7
2003-10-22,Gallup[106][107],2016,69.9,42.4,36.8,6.2,3.4,1.6,NA,NA,NA,5.6
2003-10-02,Intercampo/GETS[108][109][110],1714,NA,43.8,34.3,6.4,3.8,1.5,NA,NA,NA,9.5
2003-09-28,Sigma Dos/El Mundo[95][34][111],NA,NA,43.8,35.3,5.1,4,1.4,NA,NA,NA,8.5
2003-09-24,Opina/Cadena SER[112][113],1000,NA,42,39,6.5,4,2,NA,NA,NA,3.0
2003-09-24,Vox Pública/El Periódico[114],1502,NA,44.2,37.1,6,3,1.6,NA,NA,NA,7.1
2003-09-24,Gallup[115],2027,71.2,43,35.3,7.2,3.5,1.6,NA,NA,NA,7.7
2003-09-10,Opina/Cadena SER[116][117][118],1000,NA,42,39,5,4,2,NA,NA,NA,3.0
2003-09-07,Opina/El País[119][120][121],1000,NA,42,38,6.5,5.5,1.8,NA,NA,NA,4.0
2003-09-07,Celeste-Tel/La Razón[95][34],NA,NA,43.2,35.3,5.9,3.7,1.9,NA,NA,NA,7.9
2003-09-02,Opina/Cadena SER[117][122],1000,NA,42,39,6,5,2,NA,NA,NA,3.0
2003-08-27,Opina/Cadena SER[123][124],1000,NA,42,39,6.5,5.5,2,NA,NA,NA,3.0
2003-08-18,Gallup[125],2026,70.2,43.6,36.5,5.4,3.7,1.5,NA,NA,NA,7.1
2003-07-24,Gallup[126],2032,70.7,42.9,37.4,5.9,3.4,1.4,NA,NA,NA,5.5
2003-07-20,Sigma Dos/El Mundo[95][34][127],NA,NA,42.8,35.9,5.6,3.9,1.5,NA,NA,NA,6.9
2003-07-08,CIS[128][129][130],2476,NA,41.2,35.2,6.3,3.8,1.2,1.5,NA,NA,6.0
2003-07-06,Ibecom/La Razón[95][34],NA,NA,43.6,33.9,4.4,4.3,1.3,NA,NA,NA,9.7
2003-07-01,Opina/Cadena SER[131][132],1000,NA,40,39,5,5,2,NA,NA,NA,1.0
2003-06-26,Sigma Dos/El Mundo[133][134],1000,NA,42.6,35.4,6.2,4,1.6,NA,NA,NA,7.2
2003-06-25,Vox Pública/El Periódico[135],1502,NA,41.6,37.5,5.9,3.1,1.2,NA,NA,NA,4.1
2003-06-20,Gallup[136][137],2024,75.1,40.7,37.2,7.4,3.2,1.2,NA,NA,NA,3.5
2003-06-11,Opina/Cadena SER[138][139],NA,NA,42,39,4.5,4.5,2,NA,NA,NA,3.0
2003-05-28,Opina/Cadena SER[140],NA,NA,41,41,5,4,2,NA,NA,NA,Tie
2003-05-26,Gallup[141][142],2026,73.4,38.4,38.8,6.8,2.9,1.4,NA,NA,NA,0.4
2003-05-25,2003 local elections,NA,67.8,34.3,34.8,6.1,3.4,1.8,1.4,1.2,1.8,0.5
2003-05-15,Opina/Cadena SER[140][143],1000,NA,39,39,6,4,1.8,NA,NA,NA,Tie
2003-04-30,CIS[144][145],2494,74.2,37.3,39.5,6.3,3.3,1.3,1.3,NA,NA,2.2
2003-04-27,Sigma Dos/El Mundo[95][146],NA,NA,41.2,38.7,5,3.7,1.5,NA,NA,NA,2.5
2003-04-24,Noxa/La Vanguardia[147],1000,NA,39.3,42.3,6.1,3.2,1.5,NA,NA,NA,3.0
2003-04-24,Ipsos–Eco/ABC[148],2254,NA,33.9,39.4,6.1,3.8,1.7,NA,NA,NA,5.5
2003-04-23,Opina/Cadena SER[149][150][151],1000,NA,38,42,6,4.5,2,NA,NA,NA,4.0
2003-04-22,Gallup[152][153],2020,70.2,35.8,43.2,6.3,3.5,1.6,NA,NA,NA,7.4
2003-04-02,Opina/Cadena SER[150],NA,NA,36.5,43,6,4.2,2,NA,NA,NA,6.5
2003-04-02,Vox Pública/El Periódico[154],1503,NA,35.9,42.6,6.1,3.6,1.5,NA,NA,NA,6.7
2003-03-30,Sigma Dos/El Mundo[95][155],NA,NA,38.6,40.7,5.1,3.6,1.5,NA,NA,NA,2.1
2003-03-26,Opina/El País[156][157],1000,NA,36,42,6.2,4.2,2,NA,NA,NA,6.0
2003-03-25,Gallup[158][159],2016,68.8,38.6,42.1,5.1,3.8,1.6,NA,NA,NA,3.5
2003-03-21,Opina/Cadena SER[160][161],1000,NA,37,43,6,4,1.8,NA,NA,NA,6.0
2003-03-08,Opina/Cadena SER[162][163],1000,NA,37,42.5,5,4,1.5,NA,NA,NA,5.5
2003-02-24,Gallup[164][165],2028,68.5,39.7,39.8,5.5,3.7,1.6,NA,NA,NA,0.1
2003-02-20,Sigma Dos/El Mundo[166][167],1000,NA,38.5,40.2,5.6,3.9,1.5,NA,NA,NA,1.7
2003-02-19,Opina/Cadena SER[168][169],1000,NA,38,42,5.5,4,1.8,NA,NA,NA,4.0
2003-02-06,Opina/Cadena SER[170],NA,NA,38,42,5,4,1.8,NA,NA,NA,4.0
2003-02-03,Opina/El País[171][172],1000,NA,40,42,4,4,1.5,NA,NA,NA,2.0
2003-01-26,CIS[173][174],2480,74.4,39.8,37.3,5.5,3.7,1.5,1.4,NA,NA,2.5
2003-01-23,Gallup[175][176],2034,68.9,39.6,39.5,4.9,3.3,1.6,NA,NA,NA,0.1
2003-01-22,Opina/Cadena SER[177][178],1000,NA,41,41,5,4,1.6,NA,NA,NA,Tie
2003-01-20,Sigma Dos/El Mundo[167][179],NA,NA,41.6,38.6,4.9,3.9,1.3,NA,NA,NA,3.0
2003-01-16,Vox Pública/El Periódico[180],1501,NA,40.4,39,6,3.3,1.1,NA,NA,NA,1.4
2003-01-08,Opina/Cadena SER[181][182][183],1000,NA,41,41,4.8,4.5,1.8,NA,NA,NA,Tie
2002-12-23,Gallup[184][185],2011,68.5,38.2,40.8,5,4,1.4,NA,NA,NA,2.6
2002-12-17,Opina/Cadena SER[186][187][188],1000,NA,39,42,5,4,1.5,NA,NA,NA,3.0
2002-12-11,Sigma Dos/El Mundo[189][190],1000,NA,41.7,38.8,4.7,3.7,1.4,NA,NA,NA,2.9
2002-12-04,Opina/Cadena SER[191][192],1000,NA,41,41,5,4,1.5,NA,NA,NA,Tie
2002-11-25,La Vanguardia[193],NA,NA,38.6,40,NA,NA,NA,NA,NA,NA,1.4
2002-11-25,Gallup[194][195],2018,70,40.6,39.8,5.4,3.3,1.2,NA,NA,NA,0.8
2002-11-24,Opina/El País[196],1000,NA,40,40,5,4.5,1.8,NA,NA,NA,Tie
2002-11-20,Opina/Cadena SER[197][198],1000,NA,42,40,5,4.8,1.5,NA,NA,NA,2.0
2002-11-08,Sigma Dos/El Mundo[199][200],3400,NA,41.9,38.4,4.6,4,1.4,NA,NA,NA,3.5
2002-11-06,Opina/Cadena SER[201][202],1000,NA,41,41,5,4,1.8,NA,NA,NA,Tie
2002-10-29,Opina/El País[203],NA,NA,41,41,5.2,4,1.7,NA,NA,NA,Tie
2002-10-24,Gallup[204][205],2018,69.4,42.7,37.2,5.1,3.8,1.4,NA,NA,NA,5.5
2002-10-23,Opina/Cadena SER[206][207],1000,NA,41,39.5,5.1,4,1.5,NA,NA,NA,1.5
2002-10-21,Ibecom/La Razón[95][208][209][210],NA,NA,43.5,38.7,2.9,3.1,1.1,NA,NA,NA,4.8
2002-10-21,CIS[211][212],2489,74.6,41.5,37.3,4.6,3.7,1.4,1.2,NA,NA,4.2
2002-10-14,Sigma Dos/El Mundo[200][213],NA,NA,41.8,37.9,5,4.2,1.5,NA,NA,NA,3.9
2002-10-09,Opina/Cadena SER[214][215],1000,NA,42,38.5,5,4,2,NA,NA,NA,3.5
2002-10-09,Vox Pública/El Periódico[216],1507,NA,42.4,38.7,4.8,3.3,1.2,NA,NA,NA,3.7
2002-10-09,CIS[217],10476,75.6,41,37.1,5.4,4,1.5,1.2,NA,NA,3.9
2002-10-03,Intercampo/GETS[109],NA,NA,41.6,36.6,5.6,4.4,1.5,NA,NA,NA,5.0
2002-09-29,Opina/El País[218][219],NA,NA,42,39,4.5,3.8,1.6,0.9,0.9,1,3.0
2002-09-25,Opina/Cadena SER[220][221],1000,NA,41,39,5,4,2,NA,NA,NA,2.0
2002-09-13,Ipsos–Eco/ABC[222],2010,NA,40.7,37.6,5.7,4,1.5,1.4,NA,NA,3.1
2002-09-10,Opina/Cadena SER[223][224],1000,NA,42,39.5,5,4,1.7,NA,NA,NA,2.5
2002-08-27,Opina/Cadena SER[225][226][227],1000,NA,41,41,5.5,4,1.8,NA,NA,NA,Tie
2002-08-23,Gallup[228],2008,68,42.1,38,5.5,3.1,1.4,NA,NA,NA,4.1
2002-07-29,Gallup[229],2013,67.8,42.5,38,5.7,3.4,1.4,NA,NA,NA,4.5
2002-07-21,CIS[230][231],2482,74,41,36.3,5,4.2,1.4,1.2,NA,NA,4.7
2002-07-14,Sigma Dos/El Mundo[200][232],NA,NA,43.3,36.2,5.7,3.9,1.5,NA,NA,NA,7.1
2002-06-30,La Vanguardia[233][234],2494,NA,39.2,36.8,6.3,3.5,NA,NA,NA,NA,2.4
2002-06-27,Opina/Cadena SER[235][236],1000,NA,41,40,5,4,2,NA,NA,NA,1.0
2002-06-26,Vox Pública/El Periódico[237],1504,NA,41.9,38.7,5.9,3.1,1.1,NA,NA,NA,3.2
2002-06-24,Gallup[238],2016,68.3,42.7,36.8,5.7,4.2,1.6,NA,NA,NA,5.9
2002-06-21,Opina/Cadena SER[236][239],NA,NA,41,39.5,5,4.5,2,NA,NA,NA,1.5
2002-06-05,Opina/Cadena SER[236][239][240],1000,NA,41,39,5,4.5,2.5,NA,NA,NA,2.0
2002-05-26,La Vanguardia[233][241],2496,NA,40,36.9,6.6,4.1,NA,NA,NA,NA,3.1
2002-05-22,Opina/Cadena SER[242][243],1000,NA,41,40,5,4.5,2,NA,NA,NA,1.0
2002-05-22,Gallup[244],2010,70.2,42.3,37.6,5.3,3.6,1.5,NA,NA,NA,4.7
2002-05-08,Opina/Cadena SER[245][246],1000,NA,41,39,5,4.5,2,NA,NA,NA,2.0
2002-05-03,Sigma Dos/El Mundo[200][247],NA,NA,43.2,37.2,4.7,3.5,1.5,NA,NA,NA,6.0
2002-04-24,Opina/Cadena SER[248][249],1000,NA,42,39,5,4.5,2,NA,NA,NA,3.0
2002-04-23,Gallup[250],2017,68.2,41.8,37.6,5,4.2,1.7,NA,NA,NA,4.2
2002-04-21,CIS[251][252],2498,73.9,42.4,34.4,5.4,4.4,1.5,1.5,NA,NA,8.0
2002-04-17,Vox Pública/El Periódico[253],1510,NA,42.5,37.6,5.2,3.9,1.4,NA,NA,NA,4.9
2002-04-10,Opina/Cadena SER[254][255],1000,NA,42,38.5,5,4.5,2,NA,NA,NA,3.5
2002-03-27,Gallup[256],2029,68.3,41.8,36.9,5.8,3.7,1.7,NA,NA,NA,4.9
2002-03-26,Opina/Cadena SER[257][258],1000,NA,42,38,5,5,2,NA,NA,NA,4.0
2002-03-12,Opina/Cadena SER[259][260],1000,NA,42,39,5,4.5,2,NA,NA,NA,3.0
2002-02-27,Opina/Cadena SER[261][262],1000,NA,43.5,38,5,4.5,1.7,NA,NA,NA,5.5
2002-02-27,Gallup[263],2030,70.3,43.1,37.1,5,3.4,1.4,NA,NA,NA,6.0
2002-02-13,Opina/Cadena SER[264][265],1000,NA,42.5,38,5,5,1.7,NA,NA,NA,4.5
2002-02-05,Vox Pública/El Periódico[266],1506,NA,44.1,36.8,4.9,3.4,1.7,NA,NA,NA,7.3
2002-01-31,CIS[267][268],2498,74.3,43.9,34.2,5.8,4,1.5,1.2,NA,NA,9.7
2002-01-30,Opina/Cadena SER[269][270],1000,NA,43.5,38,4.5,4.5,2,NA,NA,NA,5.5
2002-01-29,Gallup[271],2031,70.1,43.2,36.8,5.4,3.5,1.6,NA,NA,NA,6.4
2002-01-16,Opina/Cadena SER[272][273],1000,NA,43.5,38,5,5,2,NA,NA,NA,5.5
2002-01-03,Opina/Cadena SER[274][275][276],1000,NA,43.5,38.5,5,4.5,2,NA,NA,NA,5.0
2001-12-28,Sigma Dos/El Mundo[200][277],NA,NA,44.7,35.5,4.4,3.6,1.5,NA,NA,NA,9.2
2001-12-28,Gallup[278][279][280],2020,70.6,42.2,38.4,5.2,3.4,1.5,NA,NA,NA,3.8
2001-12-24,Opina/Cadena SER[281][282],NA,NA,42,37,5.5,4,2,1.4,NA,NA,5.0
2001-12-05,Opina/Cadena SER[283][284][285],1000,NA,41.5,39,5.5,5,2,NA,NA,NA,2.5
2001-11-28,Gallup[286][287][288],2021,69.8,44.2,36.8,5.3,3.5,1.4,NA,NA,NA,7.4
2001-11-20,Opina/Cadena SER[289][290],1000,NA,42.5,39,5,4.5,2,NA,NA,NA,3.5
2001-11-07,Opina/Cadena SER[291][292],1000,NA,43,38.5,5.5,4.5,1.5,NA,NA,NA,4.5
2001-10-30,Gallup[293][294][295],2016,70.1,43.9,37,4.9,3.8,1.5,NA,NA,NA,6.9
2001-10-29,CIS[296][297][298][299],2499,74.1,43.5,34,5.5,4.5,1.4,1.4,NA,NA,9.5
2001-10-28,La Vanguardia[300],NA,NA,41.3,37,NA,NA,NA,NA,NA,NA,4.3
2001-10-24,Opina/Cadena SER[301][302],1000,NA,44,38.5,5,4.5,1.5,NA,NA,NA,5.5
2001-10-23,Vox Pública/El Periódico[303],1509,NA,44.5,37.9,5.6,3.7,1.4,NA,NA,NA,6.6
2001-10-04,Intercampo/GETS[109],NA,NA,42.4,36.3,5.6,4.1,1.8,NA,NA,NA,6.1
2001-10-02,Opina/Cadena SER[302][239],NA,NA,43.5,40,5.5,4,1.5,NA,NA,NA,3.5
2001-09-27,Gallup[304][305][306],2027,70.3,42.3,37.2,5.5,4,1.6,NA,NA,NA,5.1
2001-09-18,Opina/Cadena SER[239][307][302],1000,NA,43.5,39,5,4.5,1.5,NA,NA,NA,4.5
2001-09-05,Opina/Cadena SER[308][309],1000,NA,44,38,5,4.6,2,NA,NA,NA,6.0
2001-07-30,Gallup[310][311][312],2024,70.2,42.1,38.3,5.1,3.4,2,NA,NA,NA,3.8
2001-07-18,CIS[298][313][314],2485,75.1,43.6,34.9,5.6,3.7,1.5,1.5,NA,NA,8.7
2001-06-30,Opina/Cadena SER[315][316],1000,NA,43.5,40,5,4.5,1.5,NA,NA,NA,3.5
2001-06-28,Vox Pública/El Periódico[317],1506,NA,44,37.1,5.9,3.2,1.2,NA,NA,NA,6.9
2001-06-27,Gallup[318][319][320],2008,69.5,43.6,36.8,5.2,3.6,1.5,NA,NA,NA,6.8
2001-06-24,Sigma Dos/El Mundo[200][321],NA,NA,43.4,35.8,5.4,3.9,1.4,NA,NA,NA,7.6
2001-06-13,Opina/Cadena SER[322][323][324],1000,NA,44,38,6,4.5,1.5,NA,NA,NA,6.0
2001-05-30,La Vanguardia[325],NA,NA,43.5,35.1,NA,NA,NA,NA,NA,NA,8.4
2001-05-30,Opina/Cadena SER[326][327],1000,NA,43,39.5,5,4.5,1.5,NA,NA,NA,3.5
2001-05-25,Gallup[328][329][330],2031,69.8,45,34.3,6.3,4.3,1.4,NA,NA,NA,10.7
2001-05-14,Opina/Cadena SER[331][332],1000,NA,44,38,5.5,4.5,2.3,NA,NA,NA,6.0
2001-04-30,CIS[298][333][334],2492,73.9,43.5,35.2,4.9,4,1.3,1.4,NA,NA,8.3
2001-04-25,Gallup[335][336][337],2026,69.8,43.4,37.6,4.9,3.4,1.5,NA,NA,NA,5.8
2001-04-24,Opina/Cadena SER[338][339],1000,NA,44,38.5,5.5,4,2,NA,NA,NA,5.5
2001-04-18,Vox Pública/El Periódico[340],1514,NA,43.7,38.6,3.7,3.4,1.5,NA,NA,NA,5.1
2001-04-11,Opina/Cadena SER[341][342],NA,NA,43,40,4.5,4.5,1.7,NA,NA,NA,3.0
2001-04-04,Opina/Cadena SER[343][344][345],NA,NA,42,37,5,4,1.5,NA,NA,NA,5.0
2001-03-30,Gallup[346][347][348],2026,72.3,43.4,35.6,5.5,3.7,1.3,NA,NA,NA,7.8
2001-03-07,Opina/Cadena SER[349][350],NA,NA,43,38.5,4.5,4.5,2,NA,NA,NA,4.5
2001-02-28,La Vanguardia[325],NA,NA,42.7,35.9,NA,NA,NA,NA,NA,NA,6.8
2001-02-26,Gallup[351][352][353],2036,70.3,42.4,37.5,5.4,3.4,1.7,NA,NA,NA,4.9
2001-02-21,Opina/Cadena SER[354][355][356],1000,NA,43,40,4.5,4,1.5,NA,NA,NA,3.0
2001-02-18,Sigma Dos/El Mundo[200][357][358],800,NA,43.5,35.9,4.6,4.1,1.5,NA,NA,NA,7.6
2001-02-07,Opina/Cadena SER[359][360],NA,NA,43,40,5,4.5,2,NA,NA,NA,3.0
2001-01-31,Vox Pública/El Periódico[361][362],1519,NA,43.5,37.5,4,3.5,1.5,NA,NA,NA,6.0
2001-01-27,Gallup[363][364][365],2028,71.6,41.9,37,5.3,4.4,1.7,NA,NA,NA,4.9
2001-01-24,Opina/Cadena SER[360][366],NA,NA,44,39,4.5,4.5,1.8,NA,NA,NA,5.0
2001-01-23,CIS[298][367][368],2486,73.9,43.5,36.2,5.1,3.9,1.4,1.2,NA,NA,7.3
2001-01-16,Opina/Cadena SER[369],NA,NA,42,39,NA,NA,NA,NA,NA,NA,3.0
2001-01-10,Opina/Cadena SER[360],NA,NA,42,38.5,5,4.9,1.5,NA,NA,NA,3.5
2000-12-29,Sigma Dos/El Mundo[200][370],NA,NA,44.6,36.2,4.2,4,1.4,NA,NA,NA,8.4
2000-12-28,Opitel/Tele 5[371],NA,NA,44.5,38,3.8,4.5,2,NA,NA,NA,6.5
2000-12-24,Gallup[95],NA,NA,44.4,36.9,5.4,3.7,1.9,NA,NA,NA,7.5
2000-12-20,Opina/Cadena SER[360][372],NA,NA,44.5,38.5,4.2,4.3,1.8,NA,NA,NA,6.0
2000-12-05,Opina/Cadena SER[360][373],NA,NA,44.5,38.5,5,4,2,NA,NA,NA,6.0
2000-11-28,La Vanguardia[325],NA,NA,42.6,36,NA,NA,NA,NA,NA,NA,6.6
2000-11-22,Opina/Cadena SER[360][374],NA,NA,45,38,3,4,1.5,NA,NA,NA,7.0
2000-11-08,Opina/Cadena SER[374],NA,NA,44,36,NA,NA,NA,NA,NA,NA,8.0
2000-10-31,Vox Pública/El Periódico[375],1210,NA,44,36.7,4.6,4.1,1.2,NA,NA,NA,7.3
2000-10-30,Sigma Dos/El Mundo[200][376],NA,NA,46.2,34.2,4.9,3.2,1.5,NA,NA,NA,12.0
2000-10-25,Opina/Cadena SER[360],NA,NA,42.2,32.8,5.1,3.3,1.7,NA,NA,NA,9.4
2000-10-22,CIS[128][377][378][379],2497,NA,43.7,36.2,5.5,3.8,1.5,1.3,NA,NA,7.5
2000-10-09,Demoscopia/El País[95][380],NA,NA,45,35.8,6.9,4.4,1.4,NA,NA,NA,9.2
2000-10-05,Intercampo/GETS[109],NA,NA,42.9,33.7,5.6,4,1.3,NA,NA,NA,9.2
2000-10-02,Opitel/Tele 5[381],NA,NA,44.8,34.9,4.6,4.5,1,NA,NA,NA,9.9
2000-09-27,Gallup[382][383][384],2025,71.4,45,34.9,5.3,4.1,1.3,NA,NA,NA,10.1
2000-07-20,La Vanguardia[325],NA,NA,47.1,31.5,NA,NA,NA,NA,NA,NA,15.6
2000-07-18,CIS[298][379][385][386][387],2493,72.9,46.6,31.6,5.9,4.3,1.4,1.5,NA,NA,15.0
2000-07-16,Sigma Dos/El Mundo[200][388],NA,NA,45.7,33.6,5.9,3.5,1.6,NA,NA,NA,12.1
2000-06-30,Vox Pública/El Periódico[389],2300,NA,46.5,30.5,5.6,3.8,1,NA,NA,NA,16.0
2000-06-07,La Vanguardia[325],NA,NA,47.5,31.1,NA,NA,NA,NA,NA,NA,16.4
2000-05-03,CIS[298][390][391],2491,72,45.3,32.7,5.9,4,1.2,1.5,NA,NA,12.6
2000-03-12,2000 general election,NA,68.7,44.5,34.2,5.4,4.2,1.5,1.3,1.1,0.8,10.3
